,Unnamed: 0,song,songcode,artist,danceability,energy,acousticness
98,98,Work from Home (feat. Ty Dolla $ign),4tCtwWceOPWzenK2HAIJSb,Fifth Harmony,0.803,0.585,0.103
99,99,I Would Like,4Q4jmPHwu0wrJvqrld0FQ6,Zara Larsson,0.486,0.713,0.0853
100,100,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,Justin Timberlake,0.667,0.83,0.0123
101,101,I Got You,1FUViuNSldssMIawrOXF2i,Bebe Rexha,0.609,0.887,0.0504
102,102,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,0.734,0.637,0.0462
103,103,Lot to Learn,3TRFq09DUgYj1mug6RRqJW,Luke Christopher,0.405,0.846,0.0948
104,104,Shed a Light,1cG0umU5TKStygKsPFZ9pY,"Robin Schulz, David Guetta, Cheat Codes",0.483,0.787,0.112
105,105,Lighthouse - Andrelli Remix,04CttTezSnv71USiiG9mIo,Hearts & Colors,0.595,0.662,0.0178
106,106,Juju on That Beat (TZ Anthem),1lItf5ZXJc1by9SbPeljFd,"Zay Hilfigerrr, Zayion McCall",0.807,0.887,0.00381
107,107,Thinking out Loud,1Slwb6dOYkBlWal1PGtnNg,Ed Sheeran,0.781,0.445,0.474
108,108,Deja Vu,0H8XeaJunhvpBdBFIYi6Sh,"Post Malone, Justin Bieber",0.62,0.69,0.0931
109,109,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),40UroIGvsMPLPBYwH8rMNA,Vice,0.779,0.671,0.153
110,110,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,0.853,0.56,0.013
111,111,This Town,5nA67Y0XX9JipZwYxX7Gl7,Niall Horan,0.687,0.409,0.71
112,112,The Mack,7aV2mflaASUmGhCErm7kBO,"Nevada, Mark Morrison, Fetty Wap",0.707,0.883,0.0707
113,113,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,Sia,0.628,0.698,0.0472
114,114,"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,"G-Eazy, Bebe Rexha",0.756,0.674,0.0184
115,115,We Don't Talk Anymore (feat. Selena Gomez),68EMU2RD1ECNeOeJ5qAXCV,Charlie Puth,0.728,0.563,0.621
116,116,True Colors,6i759FCuKx713ZnYjtpQGU,The Weeknd,0.616,0.424,0.284
117,117,Change,3pjUyVbFmM96tYhSaKJwTt,J. Cole,0.74,0.523,0.666
118,118,Solo Dance,6HUnnBwYZqcED1eQztxMBN,Martin Jensen,0.744,0.836,0.0435
119,119,Into You,7yHEDfrJNd0zWOfXwydNH0,Ariana Grande,0.636,0.727,0.0161
120,120,I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,Mike Posner,0.663,0.713,0.0353
121,121,By Your Side,1D3ODoXHBLpdxolZRHWV1j,"Jonas Blue, RAYE",0.696,0.743,0.0778
122,122,Party (feat. Usher & Gucci Mane),05Z7jet4VDNVgNQWcYHnrk,Chris Brown,0.762,0.576,0.0556
123,123,Father Stretch My Hands Pt. 1,4KW1lqgSr8TKrvBII0Brf8,Kanye West,0.724,0.573,0.118
124,124,This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,Calvin Harris,0.631,0.927,0.199
125,125,Living Single,36xxq7VDZZsGwARsn6Clo7,"Big Sean, Chance the Rapper, Jeremih",0.714,0.62,0.223
126,126,Secrets,3DX4Y0egvc0slLcLl31h2p,The Weeknd,0.665,0.771,0.0155
127,127,Let Me Explain,1trZGMI2CGyVT44STkpCoN,Bryson Tiller,0.809,0.504,0.00156
128,128,The Hills,25khomWgBVamSdKw7hzm3l,The Weeknd,0.356,0.567,0.0861
129,129,Timeless (feat. DJ SPINKING),0q5DrtpnnGpOvBy5nnPMbe,A Boogie Wit da Hoodie,0.569,0.761,0.261
130,130,All Time Low,5wQRNkb7OhzJoT1P0OZ4Rw,Jon Bellion,0.672,0.386,0.389
131,131,What They Want,3pndPhlQWjuSoXhcIIdBjv,Russ,0.71,0.404,0.484
132,132,Pop Style,1WRy5l3TwrwlzNmB5bOeKw,Drake,0.724,0.456,0.215
133,133,Good Drank,39pS70eeDvyCAF3t8NAlVV,"2 Chainz, Gucci Mane, Quavo",0.836,0.776,0.274
134,134,Cake - Challenge Version,6t2ubAB4iSYOuIpRAOGd4t,"Flo Rida, 99 Percent",0.786,0.854,0.0729
135,135,Gold,6WhzFzROw3aq3rPWjgYlxr,Kiiara,0.6,0.412,0.615
136,136,Never Be Like You,12REd1n8PeiHHWOh066tpr,"Flume, kai",0.494,0.559,0.436
137,137,Rockin’,36YCdzT57us0LhDmCYtrNE,The Weeknd,0.738,0.885,0.0133
138,138,Drinkin' Too Much,1PouCui4RgDYcrQVAqdYuf,Sam Hunt,0.447,0.38,0.869
139,139,Wyclef Jean,55OdqrG8WLmsYyY1jijD9b,Young Thug,0.863,0.576,0.124
140,140,Blue Ain't Your Color,6ZOPiKQeibCn7fP8dncucL,Keith Urban,0.69,0.416,0.617
141,141,My Shit,5uQOauh47VFt3B2kV9kRXw,A Boogie Wit da Hoodie,0.812,0.621,0.244
142,142,Go Flex,5yuShbu70mtHXY0yLzCQLQ,Post Malone,0.665,0.498,0.228
143,143,Location,152lZdxL1OR0ZMW6KquMif,Khalid,0.736,0.449,0.33
144,144,Still Here,433P7tDcIAi6NLnf4Sh6tI,Drake,0.834,0.433,0.0258
145,145,Feel Me,2Cth0v1xri32oZ799rL3rl,"Tyga, Kanye West",0.442,0.636,0.124
146,146,Roses (feat. ROZES),6O6M7pJLABmfBRoGZMu76Y,The Chainsmokers,0.716,0.806,0.0361
147,147,Hear Me Now,1a5Yu5L18qNxVhXx38njON,"Alok, Bruno Martini, Zeeba",0.788,0.43,0.537
148,148,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,Justin Bieber,0.609,0.378,0.835
149,149,Capsize,2XMTqoHHSH0lvuXrvIEdco,"FRENSHIP, Emily Warren",0.683,0.708,0.0398
150,150,Somebody Else,34i4yxPrHWquuR4kjiivFO,VÉRITÉ,0.674,0.593,0.201
151,151,It's Gotta Be You,6cAKeFFYW2aClZSUyvqAEW,Isaiah Firebrace,0.422,0.745,0.221
152,152,The Greatest (feat. Kendrick Lamar),7xHWNBFm6ObGEQPaUxHuKO,Sia,0.668,0.725,0.0102
153,153,Tiimmy Turner,3NJG6vMH1ZsectZkocMEm0,Desiigner,0.603,0.725,0.174
