,artist,genre
97,VÉRITÉ,"['alt z', 'brooklyn indie', 'electropop', 'indie cafe pop', 'indie electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'nyc pop', 'pop', 'vapor pop', 'vapor soul']"
98,Isaiah Firebrace,['australian pop']
99,Lukas Graham,"['danish pop', 'pop', 'scandipop']"
100,Olivia Holt,"['alt z', 'dance pop', 'pop', 'post-teen pop', 'social media pop', 'viral pop']"
101,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
102,Marc E. Bassy,"['electropop', 'indie poptimism', 'pop', 'pop rap', 'r&b', 'rap']"
103,Jeremih,"['chicago rap', 'dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']"
104,Eminem,"['detroit hip hop', 'hip hop', 'rap']"
105,MiC LOWRY,
106,A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
107,Nause,"['edm', 'pop dance', 'progressive electro house', 'swedish pop']"
108,The Lumineers,"['folk-pop', 'modern rock', 'stomp and holler']"
109,Auli'i Cravalho,
110,Yo Gotti,"['dirty south rap', 'gangster rap', 'hip hop', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
111,KREAM,"['houston rap', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
112,James Bay,"['modern rock', 'neo mellow', 'pop', 'pop rock']"
113,MadeinTYO,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
114,X Ambassadors,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock', 'stomp pop']"
115,Kid Cudi,"['hip hop', 'ohio hip hop', 'rap']"
116,Kevin Gates,"['baton rouge rap', 'rap', 'southern hip hop', 'trap']"
117,James Hersey,['tropical house']
118,Panic! At The Disco,"['baroque pop', 'emo', 'modern rock']"
119,CNCO,"['boy band', 'latin', 'latin pop', 'reggaeton']"
120,Rombai,['cumbia pop']
121,Ricky Martin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']"
122,J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
123,Sebastian Yatra,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano']"
124,Zion & Lennox,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
125,Daddy Yankee,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
126,Ozuna,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
127,Piso 21,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
128,Chino & Nacho,"['electro latino', 'latin', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']"
129,Carlos Vives,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
130,Charly Black,['dancehall']
131,IAmChino,"['cubaton', 'reggaeton']"
132,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']"
133,Mano Arriba,['cumbia pop']
134,CHANO,
135,Wisin,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
136,Thalia,"['dance pop', 'latin', 'latin pop', 'mexican pop']"
137,Cosculluela,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
138,Enrique Iglesias,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
139,Don Omar,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']"
140,Marama,['cumbia pop']
141,Los Bonnitos,"['argentine telepop', 'cumbia paraguaya', 'cumbia pop']"
142,Gente De Zona,"['cubaton', 'latin', 'latin hip hop', 'latin pop']"
143,Juanes,"['colombian pop', 'latin', 'latin pop', 'mexican pop', 'rock en espanol', 'tropical']"
144,Reik,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
145,LOAN,
146,Farruko,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
147,Xantos,['reggaeton']
148,Nicky Jam,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
149,Coldplay,"['permanent wave', 'pop']"
150,Agapornis,"['cumbia pop', 'cumbia villera']"
151,Pijama Party,['cumbia pop']
152,Sofía Reyes,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
153,aLee DJ,['cumbia pop']
154,Kevin Roldan,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']"
155,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']"
156,Jason Derulo,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
157,El Polaco,"['cumbia pop', 'cumbia villera']"
158,Abel Pintos,"['argentine rock', 'argentine telepop', 'folklore argentino', 'pop argentino']"
159,Carlos Baute,"['latin', 'latin pop', 'spanish pop']"
160,CantoParaBailar,['cumbia pop']
161,Joey Montana,"['latin', 'latin hip hop', 'latin pop', 'panamanian pop', 'pop reggaeton', 'reggaeton', 'trap latino']"
162,Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']"
163,DNCE,"['dance pop', 'pop', 'pop rock', 'post-teen pop']"
164,#TocoParaVos,['cumbia pop']
165,Reykon,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']"
166,Yandel,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino']"
167,Papichamp,['cumbia pop']
168,Mambo Kingz,['reggaeton flow']
169,Feid,"['colombian pop', 'latin', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']"
170,Justin Quiles,"['latin', 'reggaeton', 'trap latino']"
171,Juan Magán,"['dance pop', 'electro latino', 'latin', 'latin pop', 'reggaeton']"
172,Jacob Forever,"['cubaton', 'dominican pop']"
173,Maná,"['latin', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']"
174,La Beriso,['argentine rock']
175,TINI,"['latin pop', 'pop argentino']"
176,De La Ghetto,"['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']"
177,KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
178,Jesse & Joy,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'pop']"
179,Sak Noel & Salvi,
180,Alejandro Sanz,"['cantautor', 'latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']"
181,Kungs,"['new french touch', 'pop dance', 'tropical house']"
182,Miranda!,"['contemporary country', 'country', 'country dawn', 'country road']"
183,Klasico,['reggaeton flow']
184,Marka Akme,"['cumbia pop', 'cumbia villera']"
185,Lali,"['argentine telepop', 'latin viral pop', 'pop argentino']"
186,El Villano,
187,Gustavo Cerati,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol']"
188,Cali Y El Dandee,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
189,Rafaga,
190,Alan Walker,['electro house']
191,Callejeros,
192,Las Pastillas del Abuelo,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
193,Soda Stereo,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']"
194,AX 13,['cumbia pop']
195,Danny Paz,
196,Carlitos Rossy,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
197,Los De La Nazza,"['perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
198,Olvidate!,['cumbia pop']
199,Robbie Williams,"['dance pop', 'dance rock', 'europop', 'pop', 'pop rock']"
200,Paulina Rubio,"['dance pop', 'latin', 'latin arena pop', 'latin pop', 'mexican pop']"
201,Divididos,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional', 'ska argentino']"
202,Plan B,"['latin', 'reggaeton', 'trap latino']"
203,Alejandro Fernández,"['latin', 'latin arena pop', 'latin pop', 'mariachi', 'mexican pop', 'ranchera', 'regional mexican']"
204,Andrés Calamaro,"['argentine rock', 'cantautor', 'latin alternative', 'latin rock', 'pop argentino', 'rock en espanol']"
205,Alexis y Fido,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
206,El Super Hobby,"['cumbia paraguaya', 'cumbia pop']"
207,Galantis,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']"
208,Danny Ocean,"['latin', 'latin pop', 'pop venezolano', 'reggaeton', 'trap latino']"
209,Bonny Lovy,"['cumbia boliviana', 'pop reggaeton']"
210,Selena Gomez,"['dance pop', 'pop', 'post-teen pop']"
211,Cheat Codes,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']"
212,Dante Klein,['pop edm']
213,Queen,"['classic rock', 'glam rock', 'rock']"
214,DENNIS,['israeli pop']
215,Christina Perri,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
216,Tommy Torres,"['latin', 'latin pop', 'puerto rican pop']"
217,Sin Bandera,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
218,Foster The People,"['indietronica', 'modern rock', 'pop', 'rock']"
219,MØ,['vancouver indie']
220,OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']"
221,Río Roma,"['latin', 'latin arena pop', 'latin pop', 'latin viral pop', 'mexican pop']"
222,Luny Tunes,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
223,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']"
224,MC G15,"['funk carioca', 'funk ostentacao', 'funk paulista']"
225,Simone & Simaria,"['funk carioca', 'pop nacional', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
226,Marília Mendonça,['sertanejo']
227,Maiara & Maraisa,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
228,Matheus & Kauan,"['pop nacional', 'sertanejo pop', 'sertanejo universitario']"
229,Wesley Safadão,['forro']
230,Anitta,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']"
231,Luan Santana,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
232,Jorge & Mateus,"['sertanejo', 'sertanejo universitario']"
233,Bruninho & Davi,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
234,Henrique & Diego,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
235,Naiara Azevedo,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
236,Gusttavo Lima,"['sertanejo', 'sertanejo universitario']"
237,Henrique & Juliano,"['sertanejo pop', 'sertanejo universitario']"
238,MC Kevinho,"['funk carioca', 'funk ostentacao', 'funk pop']"
239,Projota,"['brazilian hip hop', 'pop nacional']"
240,FTampa,"['brazilian edm', 'complextro']"
241,Zé Neto & Cristiano,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
242,Mc Davi,"['funk carioca', 'funk ostentacao', 'funk paulista']"
243,MC Kekel,"['funk carioca', 'funk consciente', 'funk ostentacao', 'funk paulista']"
244,LUDMILLA,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']"
245,Israel Novaes,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
246,Tiago Iorc,"['brazilian rock', 'folk brasileiro', 'mpb', 'nova mpb']"
247,Mc's Zaac & Jerry Smith,"['brega funk', 'funk carioca']"
248,Marcos & Belutti,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
249,ANAVITÓRIA,"['folk brasileiro', 'nova mpb', 'pop lgbtq+ brasileira', 'pop nacional', 'portuguese pop']"
250,Delano,"['electropop', 'strut']"
251,Costa Gold,"['brazilian hip hop', 'trap brasileiro']"
252,Mc Livinho,"['funk carioca', 'funk ostentacao', 'funk paulista']"
253,João Bosco & Vinicius,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
254,Sandy,"['c-pop', 'cantopop', 'classic mandopop', 'mandopop']"
255,Felipe Araújo,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
256,Lucas Lucco,"['funk carioca', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
257,Day e Lara,['sertanejo pop']
258,Natiruts,"['brazilian reggae', 'brazilian rock', 'reggae tuga']"
259,Nego do Borel,"['funk carioca', 'funk das antigas', 'funk ostentacao', 'funk pop']"
260,Tove Lo,"['dance pop', 'electropop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
261,Loubet,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
262,Arctic Monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
263,Lady Gaga,"['dance pop', 'pop', 'post-teen pop']"
264,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
265,Sevenn,['brazilian edm']
266,Anne-Marie,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
267,Roberta Campos,"['folk brasileiro', 'mpb', 'nova mpb']"
268,Mc Gui,"['brazilian hip hop', 'funk carioca', 'funk ostentacao']"
269,Lulu Santos,"['brazilian rock', 'mpb', 'pop nacional']"
270,Virginia To Vegas,"['canadian pop', 'electropop']"
271,State of Sound,"['deep tropical house', 'swedish tropical house', 'tropical house']"
272,Maty Noyes,"['alt z', 'electropop', 'indie electropop', 'indie poptimism', 'pop', 'social media pop']"
273,Marianas Trench,"['canadian rock', 'neon pop punk', 'pixie', 'pop punk', 'pop rock', 'post-teen pop']"
274,Walk Off the Earth,"['canadian rock', 'pop rock']"
275,Tory Lanez,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap']"
276,Jazz Cartier,"['canadian hip hop', 'canadian trap', 'indie pop rap', 'toronto rap', 'trap soul', 'underground hip hop']"
277,Dave,"['jam band', 'neo mellow', 'pop rock']"
278,Andy Grammer,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
279,Fat Joe,"['bronx hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'trap']"
280,Jocelyn Alice,['canadian electropop']
281,Anevo,"['deep uplifting trance', 'gaming edm', 'pop edm']"
282,French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
283,Kris Kross Amsterdam,"['dutch house', 'dutch pop']"
284,ScHoolboy Q,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
285,JAY-Z,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']"
286,Vance Joy,"['folk-pop', 'modern rock', 'pop', 'pop rock']"
287,Passenger,"['folk-pop', 'neo mellow', 'pop']"
288,Mon Laferte,"['latin', 'latin alternative', 'latin pop']"
289,Cami,"['dance pop', 'electropop', 'pop', 'post-teen pop']"
290,Croni-K,['reggaeton chileno']
291,Revol,"['corrido', 'deep regional mexican', 'nuevo regional mexicano', 'regional mexican']"
292,Denise Rosenthal,['pop chileno']
293,Bad Bunny,"['latin', 'reggaeton', 'trap latino']"
294,Eyci and Cody,['reggaeton chileno']
295,Banda El Recodo,"['banda', 'corrido', 'regional mexican', 'tropical']"
296,Schuster,"['compositional ambient', 'focus', 'neo-classical']"
297,Arcangel,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
298,"Franco ""El Gorilla""","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
299,Rvssian,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
300,Bryant Myers,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']"
301,Pitbull,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']"
302,Big Yamo,"['electro latino', 'latin', 'reggaeton']"
303,Sammy & Falsetto,"['perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
304,Moral Distraida,"['chilean indie', 'chilean rock', 'cumbia chilena', 'latin alternative', 'pop chileno']"
305,Villa Cariño,"['chilean rock', 'cumbia chilena', 'latin rock', 'nueva cancion']"
306,Los Cadillac's,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']"
307,Wisin & Yandel,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino']"
308,Jennifer Lopez,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']"
309,Ken-Y,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
310,Mark Ronson,"['dance pop', 'pop']"
311,Miguel Bosé,"['latin', 'latin pop', 'mexican pop', 'rock en espanol', 'spanish pop']"
312,Randy,"['contemporary country', 'country', 'country gospel', 'country road', 'country rock']"
313,Silvestre Dangond,"['colombian pop', 'latin', 'tropical', 'vallenato', 'vallenato moderno']"
314,Manuel Medrano,"['colombian pop', 'latin', 'latin pop']"
315,Fonseca,"['colombian pop', 'latin', 'latin pop', 'tropical']"
316,Ryan Gosling,['hollywood']
317,Andrés Cepeda,"['colombian pop', 'latin', 'latin pop', 'tropical']"
318,Bacilos,"['colombian pop', 'latin', 'latin pop', 'rock en espanol', 'tropical']"
319,Marc Anthony,"['latin', 'latin pop', 'modern salsa', 'salsa', 'tropical']"
320,Mike Bahía,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
321,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']"
322,R. City,"['reggae fusion', 'virgin islands reggae']"
323,Romeo Santos,"['bachata', 'latin']"
324,OMI,['dance pop']
325,Bomba Estéreo,"['cumbia', 'latin alternative', 'latin rock', 'pop electronico']"
326,Alzate,"['colombian pop', 'musica popular colombiana']"
327,Mueka,
328,Capital Cities,"['alternative dance', 'metropopolis']"
329,JENCARLOS,"['latin', 'latin pop']"
330,Lilly Wood and The Prick,"['french indie pop', 'french rock']"
331,MAGIC!,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']"
332,Vicente Garcia,"['bachata', 'dominican pop', 'latin', 'latin alternative', 'latin pop', 'reggae en espanol']"
333,Vybz Kartel,"['dancehall', 'reggae fusion']"
334,Nesbeth,
335,Konshens,"['dancehall', 'modern reggae']"
336,Eshconinco,['panamanian pop']
337,Alkaline,"['chicago punk', 'emo', 'melodic hardcore', 'pop punk', 'punk', 'screamo', 'skate punk']"
338,Guns N' Roses,"['glam metal', 'hard rock', 'rock']"
